nodeid,service,serviceCount,status,time
6,,20,Current Resource,0.020000000
7,,20,Current Resource,0.020000000
8,,5,Current Resource,0.020000000
6,/prefix/seq=0,19,Data Processing,0.030816000
6,0.208770,19,Computation time,0.030816000
6,,19,Current Resource,0.040000000
7,,20,Current Resource,0.040000000
8,,5,Current Resource,0.040000000
6,,19,Current Resource,0.060000000
7,,20,Current Resource,0.060000000
8,,5,Current Resource,0.060000000
8,/prefix/seq=1,4,Data Processing,0.064149333
8,0.555924,4,Computation time,0.064149333
6,,19,Current Resource,0.080000000
7,,20,Current Resource,0.080000000
8,,4,Current Resource,0.080000000
7,/prefix/seq=2,19,Data Processing,0.097482666
7,0.208617,19,Computation time,0.097482666
6,,19,Current Resource,0.100000000
7,,19,Current Resource,0.100000000
8,,4,Current Resource,0.100000000
6,,19,Current Resource,0.120000000
7,,19,Current Resource,0.120000000
8,,4,Current Resource,0.120000000
8,/prefix/seq=3,3,Data Processing,0.130815999
8,0.666927,3,Computation time,0.130815999
6,,19,Current Resource,0.140000000
7,,19,Current Resource,0.140000000
8,,3,Current Resource,0.140000000
6,,19,Current Resource,0.160000000
7,,19,Current Resource,0.160000000
8,,3,Current Resource,0.160000000
6,/prefix/seq=4,18,Data Processing,0.164149332
6,0.250821,18,Computation time,0.164149332
6,,18,Current Resource,0.180000000
7,,19,Current Resource,0.180000000
8,,3,Current Resource,0.180000000
8,/prefix/seq=5,2,Data Processing,0.197482665
8,0.777878,2,Computation time,0.197482665
6,,18,Current Resource,0.200000000
7,,19,Current Resource,0.200000000
8,,2,Current Resource,0.200000000
6,,18,Current Resource,0.220000000
7,,19,Current Resource,0.220000000
8,,2,Current Resource,0.220000000
7,/prefix/seq=6,18,Data Processing,0.230815998
7,0.250113,18,Computation time,0.230815998
6,/prefix/seq=0,19,Data Correction,0.239586498
6,,19,Current Resource,0.240000000
7,,18,Current Resource,0.240000000
8,,2,Current Resource,0.240000000
6,,19,Current Resource,0.260000000
7,,18,Current Resource,0.260000000
8,,2,Current Resource,0.260000000
8,/prefix/seq=7,1,Data Processing,0.264149331
8,0.889256,1,Computation time,0.264149331
6,,19,Current Resource,0.280000000
7,,18,Current Resource,0.280000000
8,,1,Current Resource,0.280000000
6,/prefix/seq=8,18,Data Processing,0.297482664
6,0.250788,18,Computation time,0.297482664
6,,18,Current Resource,0.300000000
7,,18,Current Resource,0.300000000
8,,1,Current Resource,0.300000000
7,/prefix/seq=2,19,Data Correction,0.306099868
6,,18,Current Resource,0.320000000
7,,19,Current Resource,0.320000000
8,,1,Current Resource,0.320000000
6,/prefix/seq=9,17,Data Processing,0.330815997
6,0.291829,17,Computation time,0.330815997
6,,17,Current Resource,0.340000000
7,,19,Current Resource,0.340000000
8,,1,Current Resource,0.340000000
6,,17,Current Resource,0.360000000
7,,19,Current Resource,0.360000000
8,,1,Current Resource,0.360000000
7,/prefix/seq=10,18,Data Processing,0.364149330
7,0.250598,18,Computation time,0.364149330
6,,17,Current Resource,0.380000000
7,,18,Current Resource,0.380000000
8,,1,Current Resource,0.380000000
7,/prefix/seq=11,17,Data Processing,0.397482663
7,0.292093,17,Computation time,0.397482663
6,,17,Current Resource,0.400000000
7,,17,Current Resource,0.400000000
8,,1,Current Resource,0.400000000
6,/prefix/seq=4,18,Data Correction,0.414970412
6,,18,Current Resource,0.420000000
7,,17,Current Resource,0.420000000
8,,1,Current Resource,0.420000000
6,/prefix/seq=12,17,Data Processing,0.430815996
6,0.292035,17,Computation time,0.430815996
6,,17,Current Resource,0.440000000
7,,17,Current Resource,0.440000000
8,,1,Current Resource,0.440000000
6,,17,Current Resource,0.460000000
7,,17,Current Resource,0.460000000
