nodeid,event,name,time,server
0,sent,prefix/seq=1,0.033333333
0,sent,prefix/seq=2,0.066666666
0,sent,prefix/seq=3,0.099999999
0,sent,prefix/seq=4,0.133333332
0,sent,prefix/seq=5,0.166666665
0,sent,prefix/seq=6,0.199999998
0,sent,prefix/seq=7,0.233333331
0,sent,prefix/seq=8,0.266666664
0,received,prefix/seq=0,0.295410498
0,sent,prefix/seq=9,0.299999997
0,sent,prefix/seq=10,0.333333330
0,received,prefix/seq=2,0.361923868
0,sent,prefix/seq=11,0.366666663
0,sent,prefix/seq=12,0.399999996
0,sent,prefix/seq=13,0.433333329
0,sent,prefix/seq=14,0.466666662
0,received,prefix/seq=4,0.470794412
0,sent,prefix/seq=15,0.499999995
0,sent,prefix/seq=16,0.533333328
0,received,prefix/seq=6,0.536753185
0,sent,prefix/seq=17,0.566666661
0,sent,prefix/seq=18,0.599999994
0,received,prefix/seq=8,0.604094198
0,sent,prefix/seq=19,0.633333327
0,sent,prefix/seq=20,0.666666660
0,received,prefix/seq=10,0.670571447
0,received,prefix/seq=1,0.679171447
0,received,prefix/seq=9,0.687779447
0,sent,prefix/seq=21,0.699999993
0,sent,prefix/seq=22,0.733333326
0,sent,prefix/seq=23,0.766666659
0,received,prefix/seq=12,0.778675169
0,sent,prefix/seq=24,0.799999992
0,sent,prefix/seq=25,0.833333325
0,received,prefix/seq=14,0.845100808
0,received,prefix/seq=3,0.853700808
0,sent,prefix/seq=26,0.866666658
0,received,prefix/seq=15,0.878781838
0,sent,prefix/seq=27,0.899999991
0,received,prefix/seq=16,0.912447995
0,sent,prefix/seq=28,0.933333324
0,sent,prefix/seq=29,0.966666657
0,received,prefix/seq=18,0.978732903
0,sent,prefix/seq=30,0.999999990
0,received,prefix/seq=19,1.012399515
0,received,prefix/seq=5,1.031160487
0,sent,prefix/seq=31,1.033333323
0,sent,prefix/seq=32,1.066666656
0,received,prefix/seq=20,1.087353513
0,sent,prefix/seq=33,1.099999989
0,received,prefix/seq=22,1.112052877
0,sent,prefix/seq=34,1.133333322
0,sent,prefix/seq=35,1.166666655
0,received,prefix/seq=23,1.187043437
0,sent,prefix/seq=36,1.199999988
0,received,prefix/seq=7,1.209205497
0,received,prefix/seq=25,1.217813497
0,sent,prefix/seq=37,1.233333321
0,sent,prefix/seq=38,1.266666654
0,received,prefix/seq=26,1.287143250
0,sent,prefix/seq=39,1.299999987
0,received,prefix/seq=27,1.320288113
0,sent,prefix/seq=40,1.333333320
0,sent,prefix/seq=41,1.366666653
0,received,prefix/seq=29,1.386984829
0,sent,prefix/seq=42,1.399999986
0,received,prefix/seq=30,1.420545060
0,sent,prefix/seq=43,1.433333319
0,received,prefix/seq=11,1.453708603
0,sent,prefix/seq=44,1.466666652
0,received,prefix/seq=32,1.487101987
0,sent,prefix/seq=45,1.499999985
0,received,prefix/seq=33,1.520138643
0,sent,prefix/seq=46,1.533333318
0,received,prefix/seq=34,1.553456528
0,sent,prefix/seq=47,1.566666651
0,received,prefix/seq=35,1.587370050
0,sent,prefix/seq=48,1.599999984
0,sent,prefix/seq=49,1.633333317
0,received,prefix/seq=37,1.653617263
0,sent,prefix/seq=50,1.666666650
0,received,prefix/seq=38,1.687291129
0,sent,prefix/seq=51,1.699999983
0,sent,prefix/seq=52,1.733333316
0,received,prefix/seq=39,1.761989221
0,sent,prefix/seq=53,1.766666649
0,received,prefix/seq=41,1.786963783
0,received,prefix/seq=21,1.795563783
0,sent,prefix/seq=54,1.799999982
0,sent,prefix/seq=55,1.833333315
0,received,prefix/seq=42,1.861758405
0,sent,prefix/seq=56,1.866666648
0,received,prefix/seq=24,1.886822521
0,received,prefix/seq=44,1.895430521
0,sent,prefix/seq=57,1.899999981
0,received,prefix/seq=45,1.920589854
0,sent,prefix/seq=58,1.933333314
0,received,prefix/seq=46,1.953869359
0,sent,prefix/seq=59,1.966666647
0,sent,prefix/seq=60,1.999999980
0,received,prefix/seq=47,2.028961552
0,sent,prefix/seq=61,2.033333313
0,received,prefix/seq=49,2.053444534
0,received,prefix/seq=48,2.062283999
0,sent,prefix/seq=62,2.066666646
0,sent,prefix/seq=63,2.099999979
0,received,prefix/seq=31,2.120562032
0,received,prefix/seq=50,2.129170032
0,sent,prefix/seq=64,2.133333312
0,sent,prefix/seq=65,2.166666645
0,received,prefix/seq=52,2.195143574
0,sent,prefix/seq=66,2.199999978
0,received,prefix/seq=53,2.229104054
0,sent,prefix/seq=67,2.233333311
0,sent,prefix/seq=68,2.266666644
